individual_local_identifier,date,temp_2m_celsius,temp_2m_celsius_max,temp_2m_celsius_min,wind_speed_10m,wind_direction_10m,surface_pressure_hpa,mean_sea_level_pressure_hpa,precipitation_mm,cloud_cover,boundary_layer_height,n_weather_points,era5_grid_distance_km_mean,era5_time_diff_hours_max
Muffine / DER AN922 (eobs 3921),2018-02-03,9.48046875,9.480469,9.480469,4.911177635192871,287.05242919921875,981.02001953125,1011.5306396484375,0.002861023,0.403961181640625,949.8668212890625,1,10.200333793016545,0.03027777777777778
Muffine / DER AN922 (eobs 3921),2018-02-10,11.378448486328125,11.452545,11.304352,5.1995391845703125,323.6212158203125,985.9015502929688,1016.4662475585938,0.0,0.0,1820.9769287109375,2,10.379164841480822,0.03138888888888889
Muffine / DER AN922 (eobs 3921),2018-02-22,12.362945556640625,12.362946,12.362946,2.008652687072754,300.65576171875,973.9249877929688,1004.01123046875,0.0009536743,0.202362060546875,2159.998046875,1,10.42532715371674,0.03166666666666667
Muffine / DER AN922 (eobs 3921),2018-02-23,7.317779541015625,7.643219,6.99234,1.8139312267303467,340.6824951171875,995.57470703125,1007.3140869140625,0.0,0.0240020751953125,197.840576171875,2,8.392181311386167,0.03638888888888889
Muffine / DER AN922 (eobs 3921),2018-02-24,4.036661624908447,9.677643,1.0724182,2.020538091659546,232.2577667236328,996.012939453125,1007.8176879882812,0.0,0.5565897822380066,223.27891540527344,3,8.99494983614597,0.028055555555555556
Muffine / DER AN922 (eobs 3921),2018-02-25,13.535797119140625,13.535797,13.535797,2.805750846862793,117.89651489257812,995.8231201171875,1007.3356323242188,0.0,0.25897216796875,630.413330078125,1,10.461177381421138,0.036944444444444446
Muffine / DER AN922 (eobs 3921),2018-02-26,7.21343994140625,8.672577,5.754303,5.6187028884887695,33.08543395996094,995.6375122070312,1007.4159545898438,0.01001358,0.60546875,1523.086669921875,2,10.030090942110903,0.03861111111111111
Muffine / DER AN922 (eobs 3921),2018-02-27,3.610368490219116,4.040558,1.0640564,2.880077838897705,301.041748046875,999.2044067382812,1009.7349243164062,0.0,0.00441657193005085,1210.80224609375,18,7.256116649697012,0.42333333333333334
Muffine / DER AN922 (eobs 3921),2018-02-28,-1.11376953125,0.08493042,-2.3124695,4.4371442794799805,73.09953308105469,994.2333984375,1008.1068725585938,0.3490448,1.0,711.465087890625,2,5.519349463806456,0.023055555555555555
Muffine / DER AN922 (eobs 3921),2018-03-02,8.329132080078125,8.601715,8.056549,2.4884188175201416,179.73883056640625,991.4918823242188,998.9500122070312,0.0,0.4329986572265625,149.47314453125,2,4.097834081530329,0.020555555555555556
Muffine / DER AN922 (eobs 3921),2018-03-03,13.024139404296875,14.523834,8.525055,2.2147629261016846,12.245567321777344,971.421875,995.3067016601562,0.58984756,0.39888763427734375,1081.5230712890625,4,7.39053823982095,0.4786111111111111
Muffine / DER AN922 (eobs 3921),2018-03-04,2.516998291015625,2.5169983,2.5169983,0.962740957736969,84.77481079101562,968.2224731445312,997.9774780273438,0.0,0.98358154296875,31.1874942779541,1,5.090229489038131,0.013055555555555556
Muffine / DER AN922 (eobs 3921),2018-03-05,3.748443603515625,4.91568,2.5812073,1.8138597011566162,45.08781433105469,920.7681274414062,994.0777587890625,0.0,0.9927215576171875,124.01731872558594,2,5.031488623868375,0.018333333333333333
Muffine / DER AN922 (eobs 3921),2018-03-07,5.049550533294678,6.534088,2.1476135,2.8724663257598877,222.80384826660156,935.2839965820312,999.5149536132812,0.10251999,0.8955790400505066,724.56884765625,3,10.79134990922671,0.03138888888888889
Muffine / DER AN922 (eobs 3921),2018-03-08,8.590240478515625,8.709625,8.470856,3.0194430351257324,215.22161865234375,942.23876953125,1006.1512451171875,0.0,0.4059600830078125,1107.83740234375,2,10.61121276576864,0.028055555555555556
Muffine / DER AN922 (eobs 3921),2018-03-09,9.069244384765625,11.994049,3.5003967,1.666825294494629,192.0745849609375,945.8154296875,1009.76416015625,0.0,0.74798583984375,218.5515899658203,3,10.509096268229385,0.028055555555555556
Muffine / DER AN922 (eobs 3921),2018-03-12,9.284088134765625,9.284088,9.284088,5.4064507484436035,241.780517578125,936.9581298828125,1000.3018798828125,0.049591064,0.764373779296875,1078.59912109375,1,10.697891365446361,0.025555555555555557
Muffine / DER AN922 (eobs 3921),2018-03-13,7.416656494140625,7.4166565,7.4166565,7.376679420471191,244.1025848388672,945.0462646484375,1009.6012573242188,0.5249977,0.929229736328125,1211.98876953125,1,10.718595334594829,0.03166666666666667
Muffine / DER AN922 (eobs 3921),2018-03-15,9.230621337890625,9.230621,9.230621,3.6678030490875244,84.26498413085938,930.1712646484375,994.0418701171875,0.22602081,1.0,490.60205078125,1,10.8288948888807,0.03638888888888889
Muffine / DER AN922 (eobs 3921),2018-03-16,5.575103759765625,5.5751038,5.5751038,0.7496263980865479,54.5794677734375,939.3781127929688,1003.046875,0.0,0.194671630859375,15.817566871643066,1,10.833627749441822,0.029722222222222223
Muffine / DER AN922 (eobs 3921),2018-03-17,5.122344970703125,5.75235,4.49234,4.959015846252441,43.82112121582031,931.0928344726562,995.1893310546875,0.21314621,1.0,707.7626342773438,2,10.321910427481967,0.024444444444444446
Muffine / DER AN922 (eobs 3921),2018-03-20,-0.442474365234375,-0.44247437,-0.44247437,2.621262311935425,18.96600341796875,954.030029296875,1021.1381225585938,0.03194809,0.949493408203125,736.557861328125,1,10.829760427426468,0.03138888888888889
Muffine / DER AN922 (eobs 3921),2018-03-21,1.449188232421875,2.369049,-0.42245483,3.375063180923462,45.62950134277344,960.4406127929688,1027.4893798828125,0.009059906,0.657073974609375,1361.483642578125,4,10.647045212956787,0.02361111111111111
Muffine / DER AN922 (eobs 3921),2018-03-22,3.461456298828125,3.8094788,3.1134338,3.252981662750244,265.050537109375,951.9112548828125,1018.6868896484375,0.10585785,0.991607666015625,981.9802856445312,2,10.425360244664681,0.04111111111111111
